Эмодзи раздела;Раздел;Описание раздела;Наименование виджета;Описание;Ссылка;Эмодзи сервиса
⚙️;Генераторы;Создание контента;Генератор паролей;Надёжные пароли по заданным параметрам;https://project14225491.tilda.ws/page80177136.html;🔒
⚙️;Генераторы;Создание контента;Генератор UTM-ссылок;Создание ссылок с метками для аналитики;https://project14225491.tilda.ws/page80158146.html;🌐
⚙️;Генераторы;Создание контента;Мок-генератор данных;Тестовые ФИО, компании и телефоны;https://project14225491.tilda.ws/page83838466.html;👥
🪄;Работа с изображениями;Редактирование и обработка изодбражений;Считывание текста с изображения;Извлечение текста из фото и PDF;https://project14225491.tilda.ws/page80177536.html;🖼️
🪄;Работа с изображениями;Редактирование и обработка изодбражений;Определение цвета по пикселю;Пипетка для точного подбора цвета;https://project14225491.tilda.ws/page83838656.html;🎨
🪄;Работа с изображениями;Редактирование и обработка изодбражений;Считывание текста с изображения;Извлечение текста из фото и PDF;https://project14225491.tilda.ws/page80177536.html;🖼️
🪄;Работа с изображениями;Редактирование и обработка изодбражений;Считывание текста с изображения;Извлечение текста из фото и PDF;https://project14225491.tilda.ws/page80177536.html;🖼️
⚙️;Генераторы 2;Тестовое описание;Тест;Тестовое описание;;🧠
🗂️;Архиваторы;Тестовое описание;Тест;Тестовое описание;;🧠
📦;Упаковщики;Тестовое описание;Тест;Тестовое описание;;🧠
🧩;Доработки;Тестовое описание;Тест;Тестовое описание;;🧠
🔍;Поисковики;Тестовое описание;Тест;Тестовое описание;;🧠
🔍;Поисковики;Тестовое описание;Тест;Тестовое описание;;🧠
🔍;Поисковики;Тестовое описание;Тест;Тестовое описание;;🧠
🔍;Поисковики;Тестовое описание;Тест;Тестовое описание;;🧠
🔍;Поисковики;Тестовое описание;Тест;Тестовое описание;;🧠
🔍;Поисковики;Тестовое описание;Тест;Тестовое описание;;🧠
🔍;Поисковики;Тестовое описание;Тест;Тестовое описание;;🧠
🔍;Поисковики;Тестовое описание;Тест;Тестовое описание;;🧠
🔍;Поисковики;Тестовое описание;Тест;Тестовое описание;;🧠
